section,location,description,tex_value,source_experiment,script_value,rtol,status,notes
table4_tab:ff5,Table4 M2 beta_TSMOM,0.121,0.121,ff5_factor_controls.json,0.1212,0.001,✓,Rounds to 0.121
table4_tab:ff5,Table4 M2 t_TSMOM,8.89,8.89,ff5_factor_controls.json,8.8922,0.001,✓,Rounds to 8.89
table4_tab:ff5,Table4 M2 R2,0.849,0.849,ff5_factor_controls.json,0.8494,0.001,✓,Rounds to 0.849
table4_tab:ff5,Table4 M5 alpha,1.28%/yr,1.28,ff5_factor_controls.json,1.276,0.003,✓,Rounds to 1.28
table4_tab:ff5,Table4 M5 t,1.50,1.50,ff5_factor_controls.json,1.4962,0.003,✓,Rounds to 1.50
table4_tab:ff5,Table4 M5 beta_TSMOM,0.117,0.117,ff5_factor_controls.json,0.1166,0.004,✓,Rounds to 0.117
table4_tab:ff5,Table4 M5 t_TSMOM implied,"8.07 (paper says M5)",8.07,ff5_factor_controls.json,8.0683,0.001,✓,Exact
table4_tab:ff5,Table4 M5 beta_BAB,-0.022,−0.022,ff5_factor_controls.json,−0.0217,0.015,✓,Rounds to −0.022
table4_tab:ff5,Table4 M5 t_BAB,-3.31,−3.31,ff5_factor_controls.json,−3.3122,0.001,✓,Exact
table4_tab:ff5,Table4 M5 R2,0.853,0.853,ff5_factor_controls.json,0.8533,0.001,✓,Rounds to 0.853
table4_tab:ff5,Table4 M5 N,3740 (paper) vs actual,3740,ff5_factor_controls.json,5049,--,✗,CRITICAL HIGH ISSUE: Paper says N=3740 (post-2011 subsample) but K54 experiment uses N=5049 (full sample). BAB proxy used full sample in experiment vs paper claims truncated.
table4_tab:ff5,Table4 AIC M5,-47213,−47213,ff5_factor_controls.json,−47212.7,0.001,✓,Rounds to −47213
table4_tab:ff5,Table4 DeltaR2 TSMOM,+0.063,0.063,ff5_factor_controls.json,0.0625,0.008,✓,Rounds to 0.063
table4_tab:ff5,Table4 DeltaR2 FF5,+0.002,0.002,ff5_factor_controls.json,0.0023,0.15,✓,Rounds to 0.002
table4_tab:ff5,Table4 DeltaR2 MOM,+0.000,0.000,ff5_factor_controls.json,0.0004,--,✓,Rounds to 0.000
table4_tab:ff5,Table4 DeltaR2 BAB,+0.001,0.001,ff5_factor_controls.json,0.0012,0.2,✓,Rounds to 0.001
table5_tab:international,Table5 avg delta_MDD,28.7 pp,28.7,k901_international_vt_13markets_results.json,~17.3 pp (different assets),--,✗,CRITICAL: K901 avg is ~17.3 pp not 28.7. Assets differ (K901 has EWH/EWY not in paper; paper has EWC/VGK/MCHI not in K901)
table5_tab:international,Table5 n=13 MDD improved,13,13,k901_international_vt_13markets_results.json,13,0,✓,All 13 improved in both
table5_tab:international,Table5 r=-0.770 VIX sens vs MDD,−0.770,−0.770,k901_international_vt_13markets_results.json,NOT FOUND,--,?,K901 reports Spearman rho=0.401 for gamma vs MDD; no r=−0.770 found
table5_tab:international,Table5 GJR gamma vs delta_Sharpe Spearman,0.830,0.830,k901_international_vt_13markets_results.json,NOT FOUND,--,?,K901 does not report this value
table5_tab:international,Table5 developed avg delta_MDD,32.0 pp,32.0,k901_international_vt_13markets_results.json,~26.0 pp (from K901 DM markets),--,✗,Divergent; different sample period likely
table5_tab:international,Table5 emerging avg delta_MDD,24.7 pp,24.7,k901_international_vt_13markets_results.json,~13.7 pp (from K901 EM markets),--,✗,Divergent
section3.3_text,Sec 3.3,1.4% TSMOM contribution to total strategy Sharpe,1.4%,NO_SOURCE,NOT FOUND,--,✗,HIGH ISSUE (review_v2 C.1): Formula/derivation not found in any experiment. 0.060/0.797=7.5% not 1.4%.
section3.1_text,Sec 3.1,TSMOM loading t-stats range 7.98 to 10.91,7.98-10.91,paper3_fixes.json,7.98-10.91 (threshold 8-20),0.01,✓,VIX threshold sensitivity check confirmed
section3.1_text,Sec 3.1,beta_TSMOM range [0.10,0.14],0.10-0.14,paper3_fixes.json,range matches,0.05,✓,Confirmed in threshold sensitivity
section4.1_text,Sec 4.1,5 TF strategies all fail Harvey t>3.0,all fail,k518_trend_following_results.json,all t<3.0 confirmed,0,✓,SMA200 t=0.43; Faber t=0.28; all fail
section4.2_text,Sec 4.2,daily break-even 3.4 bps,3.4,k499_rebalancing_frequency_results.json,3.4,0.001,✓,Exact
section4.2_text,Sec 4.2,monthly break-even 14.9 bps,14.9,k499_rebalancing_frequency_results.json,14.9,0.001,✓,Exact
section4.2_text,Sec 4.2,427 VT configurations,427,k568_optimal_weight_function_results.json,427,0,✓,Confirmed (total_param_configs_tested=427)
vix_predictive,K697 cited,VIX predicts vol corr 0.57 not direction corr 0.04,0.57/0.04,k697_results.json,0.5704/0.0417,0.01,✓,K697 vix_predictive_power confirmed (but NOT cited in main.tex)
