id,location,context,tex_value,value_type,source_experiment,script_value,tolerance,status,notes
N062,Table 6,QQQ DM t,3.71,test_stat,K994,3.7081,0.001,matched,"K994 dm_t=-3.7081 dir=gjr_better so A4f better; |t|=3.71"
N063,Table 6,GLD with GVZ DM t,3.17,test_stat,K997 A4f_GVZ,-3.173,0.001,matched,"K997 dm_t=-3.173 (negative=A4f better vs GJR)"
N064,Table 6,STOXX50E DM t,3.64,test_stat,K949 FEZ DM_MFvsGJR,3.842,0.01,divergent,"Paper STOXX50E t=3.64; K949 FEZ t=3.84 (OOS 2016-2025 vs 2019-2026). Needs dedicated experiment with same OOS."
N065,Table 6,FEZ DM t,3.45,test_stat,no dedicated experiment,?,?,no-source,"No experiment in K988/K994/K997 produces FEZ t=3.45. K949 FEZ t=3.84. Source unclear."
N066,Table 6,EEM DM t,2.47,test_stat,K994/K997,2.5217,0.01,approx,"K997 A4f_VIX EEM dm_t=-2.52; K994 A4f_vs_GJR EEM=-2.47. K994 matches."
N067,Table 6,0050.TW DM t,1.44,test_stat,K997,1.677,0.01,divergent,"K997 0050.TW dm_t=-1.677; K1098 a4f_vix t=2.68. Neither matches 1.44."
N068,Table 7 (local fear),GLD VIX only t,1.08,test_stat,K997,-1.0836,0.01,matched,"K997 A4f_VIX dm_t=-1.0836 |t|=1.08"
N069,Table 7,GLD GVZ only t,3.17,test_stat,K997,-3.173,0.001,matched,"K997 A4f_GVZ dm_t=-3.173"
N070,Table 7,GLD VIX+GVZ dual t,3.39,test_stat,K997,-3.3854,0.001,matched,"K997 A4f_VIX_GVZ dm_t=-3.3854"
N071,Table 7,EEM VIX t,2.52,test_stat,K997,-2.5217,0.001,matched,"K997 dm=-2.52"
N072,Table 7,EEM OwnRV t,-0.60,test_stat,K997,0.6036,0.001,matched,"K997 dm=0.6036 (worse than GJR); negative in paper=worse"
N073,Table 7,EEM VIX+OwnRV t,2.60,test_stat,K997,-2.5996,0.001,matched,"K997 dm=-2.5996"
N074,Table 7,0050.TW VIX lag+1 t,1.68,test_stat,K997,-1.677,0.001,matched,"K997 dm=-1.677"
N075,Table 7,0050.TW OwnRV t,-0.16,test_stat,K997,0.1603,0.001,matched,"K997 dm=0.1603"
N076,Table 7,0050.TW VIX+OwnRV t,1.70,test_stat,K997,-1.6952,0.001,matched,""
N077,Table 7,0050.TW VIX lag+2 t,1.55,test_stat,K997,-1.547,0.001,matched,""
N078,Table 8 (VaR),GJR-Normal 1% rate,2.30%,pct,K995,2.3014%,0.001,matched,""
N079,Table 8,GJR-Normal 2.5% rate,3.78%,pct,K995,3.7808%,0.001,matched,""
N080,Table 8,GJR-Normal 5% rate,6.19%,pct,K995,6.1918%,0.001,matched,""
N081,Table 8,GJR-t 1% rate,1.64%,pct,K995,1.6438%,0.001,matched,""
N082,Table 8,GJR-t 2.5% rate,3.45%,pct,K995,3.4521%,0.001,matched,""
N083,Table 8,GJR-t 5% rate,6.30%,pct,K995,6.3014%,0.001,matched,""
N084,Table 8,A4f-Normal 1% rate,1.92%,pct,K995,1.9178%,0.001,matched,""
N085,Table 8,A4f-Normal 2.5% rate,3.29%,pct,K995,3.2877%,0.001,matched,""
N086,Table 8,A4f-Normal 5% rate,5.15%,pct,K995,5.1507%,0.001,matched,""
N087,Table 8,A4f-t 1% rate,1.42%,pct,K995,1.4247%,0.001,matched,""
N088,Table 8,A4f-t 2.5% rate,3.01%,pct,K995,3.0137%,0.001,matched,""
N089,Table 8,A4f-t 5% rate,5.42%,pct,K995,5.4247%,0.001,matched,""
N090,Table 8,A4f-Normal 5% UC p,0.769,p_value,K995,0.7688,0.001,matched,""
N091,Table 8,A4f-Normal 5% CC p,0.830,p_value,K995,0.8297,0.001,matched,""
N092,Table 8,A4f-Normal 5% DQ p,0.433,p_value,K995,0.4325,0.001,matched,""
N093,Table 8,A4f-t 1% UC p,0.087,p_value,K995,0.0865,0.001,matched,""
N094,Table 8,A4f-t 1% CC p,0.158,p_value,K995,0.1576,0.001,matched,""
N095,Table 8,A4f-t 1% DQ p,0.354,p_value,K995,0.3533,0.001,matched,""
N096,Table 8,A4f-t 2.5% DQ p,0.006,p_value,K995,0.0060,0.001,matched,""
N097,Table 8,A4f-t 5% UC p,0.411,p_value,K995,0.4113,0.001,matched,""
N098,Table 8,A4f-t 5% CC p,0.554,p_value,K995,0.5536,0.001,matched,""
N099,Table 8,A4f-t 5% DQ p,0.172,p_value,K995,0.1716,0.001,matched,""
N100,Table 9 (ES),GJR-Normal Z1 stat,2.200,stat,K995,2.2005,0.001,matched,""
N101,Table 9,GJR-Normal Z1 p,0.502,p_value,K995,0.5020,0.001,matched,""
N102,Table 9,GJR-Normal Z2 stat,2.816,stat,K995,2.8155,0.001,matched,""
N103,Table 9,GJR-Normal Z2 p,0.539,p_value,K995,0.5390,0.001,matched,""
N104,Table 9,GJR-t Z1 stat,2.098,stat,K995,2.0977,0.001,matched,""
N105,Table 9,GJR-t Z2 stat,2.516,stat,K995,2.5157,0.001,matched,""
N106,Table 9,A4f-Normal Z1 stat,2.119,stat,K995,2.1186,0.001,matched,""
N107,Table 9,A4f-Normal Z2 stat,2.471,stat,K995,2.4711,0.001,matched,""
N108,Table 9,A4f-t Z1 stat,2.058,stat,K995,2.0576,0.001,matched,""
N109,Table 9,A4f-t Z2 stat,2.275,stat,K995,2.2749,0.001,matched,""
N110,Table 10 (VRP corr),g_t A3f Spearman rho,0.819,correlation,K988b vrp_corr_A3f,0.8191,0.001,matched,""
N111,Table 10,g_t A2n Spearman rho,0.801,correlation,K988b vrp_corr_A2n,0.8008,0.001,matched,""
N112,Table 10,g_t A4n Spearman rho,0.778,correlation,K988b vrp_corr_A4n,0.7780,0.001,matched,""
N113,Table 10,Raw ratio rho,0.151,correlation,K988b vrp_corr_raw_ratio,0.1509,0.001,matched,""
N114,Table 11 (resid diag),GJR-t excess kurtosis,3.065,kurtosis,no dedicated JSON,?,?,no-source,"Residual diagnostic table has no source JSON"
N115,Table 11,A4f-t excess kurtosis,1.238,kurtosis,no dedicated JSON,?,?,no-source,""
N116,Table 11,Kurtosis change pct,-59.6%,pct,no dedicated JSON,?,?,no-source,""
N117,Table 11,GJR-t skewness,-0.856,skewness,no dedicated JSON,?,?,no-source,""
N118,Table 11,A4f-t skewness,-0.594,skewness,no dedicated JSON,?,?,no-source,""
N119,Table 11,Skewness change pct,-30.6%,pct,no dedicated JSON,?,?,no-source,""
N120,Table 11,GJR-t JB stat,938.8,stat,no dedicated JSON,?,?,no-source,""
N121,Table 11,A4f-t JB stat,224.2,stat,no dedicated JSON,?,?,no-source,""
N122,Table 11,JB change pct,-76.1%,pct,no dedicated JSON,?,?,no-source,""
N123,Table 11,GJR-t median nu,5.28,parameter,K995 df_estimates,5.2848,0.001,matched,"K995 GJR_t median=5.2848; paper says 5.28"
N124,Table 11,A4f-t median nu,8.00,parameter,K995 df_estimates,7.8456,0.01,approx,"K995 A4f_residual median=7.85; paper says 8.00. Small diff."
N125,Table 12 (sensitivity),Refit 21d DM t,4.29,test_stat,K988 sensitivity,?,?,no-source,"Sensitivity table numbers not in K988_results.json; require dedicated sensitivity experiment"
N126,Table 12,Refit 63d (baseline) DM t,3.92,test_stat,K988/mcs_dm,mcs=4.03,0.01,divergent,"Paper sensitivity says 3.92 for 63d; main table says 4.03. Inconsistency within paper."
N127,Table 12,Refit 126d DM t,3.36,test_stat,no dedicated JSON,?,?,no-source,""
N128,Table 12,Refit 252d DM t,3.32,test_stat,no dedicated JSON,?,?,no-source,""
N129,Table 12,W=1000 DM t,3.18,test_stat,no dedicated JSON,?,?,no-source,""
N130,Table 12,W=2500 DM t,5.13,test_stat,no dedicated JSON,?,?,no-source,""
N131,Table 12,VIX9D DM t,5.15,test_stat,no dedicated JSON,?,?,no-source,""
N132,Table 12,VIX3M DM t,2.59,test_stat,no dedicated JSON,?,?,no-source,""
N133,Section 5.1 GW test A4f vs GJR,16.28,test_stat,mcs_dm_results.json giacomini_white,16.278,0.001,matched,""
N134,Section 5.1 GW test A4f vs B1,3.77,test_stat,mcs_dm_results.json giacomini_white,3.769,0.001,matched,""
N135,Data section,T total trading days,5347,count,K988 metadata,5347,0,matched,""
N136,Data section,OOS period start,2019-01-01,date,K988/mcs metadata,2019-01-01,0,matched,""
N137,Data section,n_OOS,1825,count,K988/mcs metadata,1825,0,matched,""
N138,Data section,VIX max (COVID peak),82.69,value,K988 data,82.69,0.001,matched,""
N139,Summary stats,SPY ann. std full,0.188,value,K988,see notes,0.01,no-source,"Summary stats table not in K988 JSON"
N140,Summary stats,OOS mean VIX,22.14,value,K988,see notes,0.01,no-source,""
N141,Summary stats,Full VIX mean,18.97,value,K988,see notes,0.01,no-source,""
N142,VRP section,VRP daily autocorr,0.20,correlation,K998,see notes,0.01,no-source,"K998 does not explicitly report daily VRP AR(1); stated as ~0.20 in text"
N143,VRP section,g_t OOS R2 h=1,1.3%,pct,K998,1.34%,0.001,matched,"K998 R2_OOS_g_only=0.01343 ~ 1.3%"
N144,VRP section,Variance swap Sharpe,-0.64,stat,K998,-0.639,0.001,matched,"K998 vs sharpe=-0.6390"
N145,VRP section,Naive always-sell Sharpe,+0.85,stat,K998,0.845,0.001,matched,"K998 baseline_always_sell sharpe=0.845"
N146,Discussion,Corr(tau_t g_t) approx,0.49,correlation,no dedicated JSON,?,?,no-source,"Proposition 1 number not in any JSON"
N147,Discussion,theta1-ratio constrained,0.78,ratio,no dedicated JSON,?,?,no-source,"Proposition 2 economics not extracted to JSON"
N148,Conclusion,7/7 two-year windows,7/7,count,no dedicated JSON,?,?,no-source,"7 non-overlapping windows sub-period not in main K988 JSON"
N149,Conclusion,QLIKE improvement range,4.81-8.09%,pct,no dedicated JSON,?,?,no-source,""
N150,Conclusion,Mean QLIKE improvement,6.52%,pct,no dedicated JSON,?,?,no-source,""
N151,Section 5.3 VIX macro,VIX vs best macro DM t,4.77,test_stat,no dedicated JSON,?,?,no-source,"Macro vs VIX comparison not found in experiments"
N152,Conclusion A4f vs B2,B2 t=3.04,test_stat,mcs_dm_results.json,3.0396,0.001,matched,"A4f vs B2 t=3.04; script=3.04"
N153,Conclusion A4f vs B3,B3 t=3.73,test_stat,mcs_dm_results.json,3.7319,0.001,matched,"A4f vs B3 t=3.73; script=3.73"
N154,Section 4.3 pooled DM,Pooled t=6.535,test_stat,no dedicated JSON,?,?,no-source,"Pooled full-period t not in any JSON"
N155,Section 5 resid,n_OOS residual table,1828,count,K995,1825,0.01,divergent,"Paper says n=1828 (Table 11 footnote); K995 has n=1825. Small discrepancy."
